#ID	gene_id
gp_0470	ENSG00000108582
gp_0471	ENSG00000108582
gp_0472	ENSG00000108582
gp_0473	ENSG00000108582
gp_0474	ENSG00000108582
gp_0475	ENSG00000108582
gp_0476	ENSG00000108582
gp_0477	ENSG00000108582
gp_0478	ENSG00000108582
gp_0479	ENSG00000108582
gp_0480	ENSG00000108582
gp_0481	ENSG00000108582
gp_0482	ENSG00000108582
gp_0483	ENSG00000108582
gp_0484	ENSG00000108582
gp_0485	ENSG00000108582
gp_0486	ENSG00000108582
gp_0487	ENSG00000108582
gp_0488	ENSG00000108582
gp_0489	ENSG00000108582
gp_0490	ENSG00000008086
gp_0491	ENSG00000153904
gp_0492	ENSG00000176595
gp_0493	ENSG00000154174
gp_0494	ENSG00000163531
gp_0495	ENSG00000163531
gp_0496	ENSG00000163531
gp_0497	ENSG00000163531
gp_0498	ENSG00000163531
gp_0499	ENSG00000163531
gp_0500	ENSG00000163531
gp_0501	ENSG00000163531
gp_0502	ENSG00000163531
gp_0503	ENSG00000163531
gp_0504	ENSG00000163531
gp_0505	ENSG00000163531
gp_0506	ENSG00000163531
gp_0507	ENSG00000163531
gp_0508	ENSG00000163531
gp_0509	ENSG00000163531
gp_0510	ENSG00000163531
gp_0511	ENSG00000163531
gp_0512	ENSG00000163531
gp_0513	ENSG00000163531
gp_0514	ENSG00000163531
gp_0515	ENSG00000163531
gp_0516	ENSG00000163531
gp_0517	ENSG00000163531
gp_0518	ENSG00000163531
gp_0519	ENSG00000163531
gp_0520	ENSG00000163531
gp_0521	ENSG00000163531
gp_0522	ENSG00000163531
gp_0523	ENSG00000163531
gp_0524	ENSG00000163531
gp_0525	ENSG00000163531
gp_0526	ENSG00000163531
gp_0527	ENSG00000163531
gp_0528	ENSG00000163531
gp_0529	ENSG00000163531
gp_0530	ENSG00000163531
gp_0531	ENSG00000163531
gp_0532	ENSG00000163531
gp_0533	ENSG00000163531
gp_0534	ENSG00000163531
gp_0535	ENSG00000163531
gp_0536	ENSG00000163531
gp_0537	ENSG00000163531
gp_0538	ENSG00000163531
gp_0539	ENSG00000163531
gp_0540	ENSG00000163531
gp_0541	ENSG00000163531
gp_0542	ENSG00000163531
gp_0543	ENSG00000163531
gp_0544	ENSG00000163531
gp_0545	ENSG00000163531
gp_0546	ENSG00000163531
gp_0547	ENSG00000163531
gp_0548	ENSG00000163531
gp_0549	ENSG00000163531
gp_0550	ENSG00000163531
gp_0551	ENSG00000163531
gp_0552	ENSG00000163531
gp_0553	ENSG00000163531
gp_0554	ENSG00000163531
gp_0555	ENSG00000163531
gp_0556	ENSG00000163531
gp_0557	ENSG00000163531
gp_0558	ENSG00000163531
gp_0559	ENSG00000163531
gp_0560	ENSG00000163531
gp_0561	ENSG00000163531
gp_0562	ENSG00000163531
gp_0563	ENSG00000163531
gp_0564	ENSG00000163531
gp_0565	ENSG00000163531
gp_0566	ENSG00000163531
gp_0567	ENSG00000163531
gp_0568	ENSG00000163531
gp_0569	ENSG00000163531
gp_0570	ENSG00000163531
gp_0571	ENSG00000163531
gp_0572	ENSG00000163531
gp_0573	ENSG00000163531
gp_0574	ENSG00000163531
gp_0575	ENSG00000163531
gp_0576	ENSG00000163531
gp_0577	ENSG00000163531
gp_0578	ENSG00000163531
gp_0579	ENSG00000163531
gp_0580	ENSG00000163531
gp_0581	ENSG00000163531
gp_0582	ENSG00000163531
gp_0583	ENSG00000163531
gp_0584	ENSG00000163531
gp_0585	ENSG00000163531
gp_0586	ENSG00000163531
gp_0587	ENSG00000163531
gp_0588	ENSG00000163531
gp_0589	ENSG00000163531
gp_0590	ENSG00000163531
gp_0591	ENSG00000163531
gp_0592	ENSG00000163531
gp_0593	ENSG00000163531
gp_0594	ENSG00000163531
gp_0595	ENSG00000163531
gp_0596	ENSG00000163531
gp_0597	ENSG00000163531
gp_0598	ENSG00000163531
gp_0599	ENSG00000163531
gp_0600	ENSG00000163531
gp_0601	ENSG00000163531
gp_0602	ENSG00000163531
gp_0603	ENSG00000163531
gp_0604	ENSG00000163531
